"","ID","language","channel","country","age","dev.environment","app.type","mobile.os","desktop.os","programming.language.migrate","programming.language.primary","unit.testing","database","database.migrate","database.host","tool.usage"
"210",2614,"English","external","Germany","30-39","Windows","Web Back-end","iOS","Windows","No, not planning to adopt / migrate","Objective-C","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Locally","All day long"
"211",2619,"English","external","United States","40-49","Unix / Linux","Web Back-end","iOS","macOS","No, not planning to adopt / migrate","Swift","No","Oracle Database","No, not planning to adopt / migrate","Locally","Several times a day"
"212",2626,"English","internal","Serbia","21-29","Unix / Linux","Web Back-end","Android","Windows","Go","Java","Yes, I write unit tests","MySQL","Neo4j","Locally","All day long"
"213",2628,"Korean","external","South Korea","21-29","Windows","Mobile","Windows","Windows","C++","Java","Yes, I write unit tests","MS SQL Server","Oracle Database","Locally","Never"
"214",2629,"English","external","Argentina","30-39","Windows","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","C#","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Private Servers","All day long"
"215",2643,"German","external","Germany","18-20","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","Java","Yes, I write unit tests","MS SQL Server","MongoDB","Locally","Several times a day"
"216",2647,"French","external","France","17 or younger","Windows","Web Back-end","Android","Windows","C++","Java","Yes, I use unit tests, but I don't write them","MySQL","No, not planning to adopt / migrate","Locally","Several times a week"
"217",2666,"German","external","Germany","30-39","Unix / Linux","Web Back-end","Android","Windows","No, not planning to adopt / migrate","PHP","No","MySQL","MongoDB","Locally","All day long"
"218",2679,"Russian","external","Russia","18-20","Unix / Linux","Mobile","Windows","Windows","C++","Java","No","MySQL","No, not planning to adopt / migrate","Locally","All day long"
"219",2686,"Ukrainian","external","Ukraine","21-29","Windows","Mobile","Android","Windows","Scala","Java","No","Oracle Database","No, not planning to adopt / migrate","Private Servers","All day long"
"220",2689,"English","internal","Turkey","21-29","Windows","Mobile","Windows","Windows","No, not planning to adopt / migrate","C#","No","SQLite","No, not planning to adopt / migrate","Locally","Several times a week"
"221",2711,"English","external","United Kingdom","21-29","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","PHP","No","MySQL","No, not planning to adopt / migrate","Locally","Less frequently"
"222",2714,"Spanish","external","Spain","30-39","macOS","Web Back-end","Android","Windows","Swift","PHP","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Private Servers","Never"
"223",2732,"English","internal","United States","30-39","Windows","Mobile","Android","Windows","No, not planning to adopt / migrate","C","Yes, I write unit tests","SQLite","No, not planning to adopt / migrate","Locally","All day long"
"224",2736,"English","internal","Canada","21-29","Windows","Web Back-end","Android","Windows","Scala","Java","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Locally","All day long"
"225",2743,"English","internal","United States","40-49","Unix / Linux","Web Back-end","iOS","Windows","No, not planning to adopt / migrate","JavaScript","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","All day long"
"226",2761,"English","internal","United States","50-59","Unix / Linux","Web Back-end","Android","Windows","No, not planning to adopt / migrate","Ruby","Yes, I write unit tests","Oracle Database","No, not planning to adopt / migrate","Private Servers","All day long"
"227",2765,"French","internal","France","30-39","Windows","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","JavaScript","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Microsoft Azure","All day long"
"228",2767,"Turkish","external","Turkey","30-39","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","PHP","No","MySQL","No, not planning to adopt / migrate","Locally","Several times a week"
"229",2784,"Portuguese","external","Brazil","40-49","Windows","Web Back-end","Windows","Windows","TypeScript","Java","Yes, I write unit tests","MongoDB","SQLite","Private Servers","All day long"
"230",2787,"English","internal","United States","50-59","Windows","Web Back-end","iOS","Windows","No, not planning to adopt / migrate","Python","Yes, I write unit tests","MS SQL Server","MongoDB","Locally","Several times a week"
"231",2806,"English","internal","Canada","21-29","Windows","Web Back-end","Windows","Windows","C","Java","Yes, I use unit tests, but I don't write them","MySQL","DB2","Locally","Several times a week"
"232",2817,"English","internal","Austria","30-39","Windows","Web Back-end","Windows","Windows","C","Python","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","Several times a day"
"233",2846,"English","internal","Israel","21-29","Windows","Mobile","Android","Windows","Planning to adopt / migrate to other language(s) - Write in:","C++","Yes, I write unit tests","SQLite","No, not planning to adopt / migrate","Locally","All day long"
"234",2857,"English","external","Argentina","40-49","Windows","Web Back-end","Android","Windows","R","C#","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","Several times a day"
"235",2858,"English","internal","United States","21-29","Unix / Linux","Web Back-end","Android","Unix / Linux","No, not planning to adopt / migrate","Ruby","Yes, I write unit tests","PostgreSQL","MongoDB","Locally","All day long"
"236",2865,"German","external","Germany","21-29","Windows","Web Front-end","Windows","Windows","Kotlin","Java","Yes, I write unit tests","SQLite","No, not planning to adopt / migrate","Locally","Several times a week"
"237",2881,"English","external","United States","21-29","Windows","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","Other - Write In:","Yes, I use unit tests, but I don't write them","MySQL","Yes, planning to adopt / migrate to other database(s) - Write in:","Amazon Web Services","Less frequently"
"238",2887,"English","internal","United Kingdom","21-29","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","Java","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","All day long"
"239",2888,"Turkish","external","Turkey","30-39","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","C#","No","MS SQL Server","No, not planning to adopt / migrate","Locally","All day long"
"240",2890,"German","external","Germany","21-29","Windows","Web Back-end","Windows","Windows","C#","C++","Yes, I write unit tests","MySQL","Redis","Locally","All day long"
"241",2894,"Chinese (s","internal","China","18-20","Windows","Web Back-end","Windows","Windows","C++","C","No","MySQL","No, not planning to adopt / migrate","Locally","Several times a day"
"242",2900,"English","internal","South Africa","40-49","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","Java","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","All day long"
"243",2912,"French","internal","Belgium","50-59","macOS","Mobile","iOS","macOS","C++","Python","No","SQLite","MySQL","Locally","Never"
"244",2936,"English","internal","South Africa","21-29","Windows","Web Back-end","Android","Windows","Scala","C#","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Amazon Web Services","Several times a day"
"245",2939,"Russian","external","Ukraine","30-39","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","Java","No","MySQL","No, not planning to adopt / migrate","Locally","Several times a week"
"246",2946,"English","external","United Kingdom","21-29","Windows","Web Back-end","Android","Windows","Scala","Java","Yes, I write unit tests","MySQL","MongoDB","Locally","All day long"
"247",2951,"Polish","external","Poland","30-39","Windows","Web Back-end","Windows","Windows","TypeScript","C#","Yes, I use unit tests, but I don't write them","MS SQL Server","No, not planning to adopt / migrate","Locally","All day long"
"248",2960,"Turkish","external","Turkey","21-29","Windows","Web Back-end","Windows","Windows","Objective-C","Java","No","MySQL","Oracle Database","Locally","Less frequently"
"249",2964,"Spanish","external","Argentina","21-29","Windows","Web Back-end","Windows","Windows","Python","JavaScript","Yes, I write unit tests","MS SQL Server","Redis","Locally","All day long"
"250",2980,"German","internal","Germany","30-39","Windows","Web Back-end","iOS","Windows","R","PHP","Yes, I write unit tests","MS SQL Server","Redis","Locally","All day long"
"251",3026,"English","internal","Philippines","50-59","Windows","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","JavaScript","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Locally","All day long"
"252",3029,"Turkish","external","Turkey","21-29","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","Java","No","MS SQL Server","No, not planning to adopt / migrate","Locally","Less frequently"
"253",3053,"French","external","France","21-29","Windows","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","PHP","Yes, I use unit tests, but I don't write them","MySQL","No, not planning to adopt / migrate","Locally","Several times a day"
"254",3056,"English","internal","Denmark","40-49","Windows","Mobile","Windows","Windows","Python","C#","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","All day long"
"255",3064,"Korean","external","South Korea","21-29","Windows","Mobile","Windows","Windows","Python","Java","No","MySQL","MongoDB","Locally","Less frequently"
"256",3066,"English","internal","United States","50-59","Windows","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","C#","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","Several times a day"
"257",3068,"Turkish","external","Turkey","18-20","Windows","Mobile","Android","Windows","Python","Java","Yes, I use unit tests, but I don't write them","MySQL","SQLite","Locally","Several times a week"
"258",3083,"English","external","Germany","21-29","Windows","Web Back-end","Android","Windows","C++","Java","Yes, I write unit tests","PostgreSQL","No, not planning to adopt / migrate","Locally","Several times a day"
"259",3084,"English","external","Sweden","40-49","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","C++","Yes, I write unit tests","PostgreSQL","No, not planning to adopt / migrate","Private Servers","Less frequently"
"260",3088,"Spanish","external","Venezuela","21-29","Windows","Mobile","Android","Windows","No, not planning to adopt / migrate","C#","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","Several times a week"
"261",3106,"Portuguese","external","Brazil","21-29","Windows","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","JavaScript","No","MySQL","No, not planning to adopt / migrate","Locally","All day long"
"262",3116,"Polish","external","Poland","21-29","Windows","Web Front-end","Android","Windows","No, not planning to adopt / migrate","Python","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Locally","Several times a week"
"263",3126,"English","external","United States","30-39","macOS","Web Back-end","iOS","Unix / Linux","Crystal","Clojure / ClojureScript","Yes, I write unit tests","Oracle Database","Cassandra","Locally","All day long"
"264",3133,"Chinese (s","internal","China","30-39","Windows","Mobile","Windows","Windows","C#","Java","No","MySQL","No, not planning to adopt / migrate","Locally","Several times a week"
"265",3148,"English","internal","Russia","30-39","Windows","Mobile","Android","Windows","No, not planning to adopt / migrate","C#","Yes, I write unit tests","PostgreSQL","No, not planning to adopt / migrate","Locally","All day long"
"266",3163,"English","external","Japan","40-49","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","C#","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","All day long"
"267",3164,"Polish","external","Poland","21-29","Windows","Web Back-end","Windows","Windows","C#","Java","Yes, I use unit tests, but I don't write them","MySQL","No, not planning to adopt / migrate","Locally","All day long"
"268",3183,"English","external","United States","40-49","Windows","Mobile","Windows","Windows","No, not planning to adopt / migrate","C#","Yes, I write unit tests","MS SQL Server","Neo4j","Locally","All day long"
"269",3193,"English","internal","United Kingdom","21-29","Unix / Linux","Web Back-end","Android","Windows","No, not planning to adopt / migrate","JavaScript","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","All day long"
"270",3197,"English","internal","United States","30-39","Windows","Web Back-end","Windows","Windows","Scala","Python","Yes, I write unit tests","MySQL","MongoDB","Locally","All day long"
"271",3199,"English","internal","United States","30-39","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","PHP","No","DB2","No, not planning to adopt / migrate","Private Servers","Several times a day"
"272",3222,"English","internal","United States","40-49","Windows","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","Python","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","All day long"
"273",3230,"English","internal","United States","30-39","Windows","Web Back-end","Windows","Windows","Planning to adopt / migrate to other language(s) - Write in:","C#","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Private Servers","All day long"
"274",3233,"French","external","France","21-29","Windows","Web Back-end","Windows","Windows","TypeScript","C#","Yes, I write unit tests","Oracle Database","No, not planning to adopt / migrate","Locally","Several times a week"
"275",3251,"English","external","United Kingdom","30-39","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","C#","Yes, I use unit tests, but I don't write them","MS SQL Server","No, not planning to adopt / migrate","Locally","Several times a week"
"276",3253,"French","internal","France","18-20","Windows","Web Back-end","Android","Windows","C#","C++","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Locally","Several times a week"
"277",3255,"English","internal","United States","30-39","macOS","Web Back-end","iOS","macOS","Python","Java","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","Several times a day"
"278",3259,"English","internal","United States","50-59","macOS","Web Back-end","Windows","Unix / Linux","Kotlin","Python","Yes, I write unit tests","PostgreSQL","Cassandra","Locally","All day long"
"279",3260,"Polish","external","Poland","30-39","Windows","Mobile","Android","Windows","No, not planning to adopt / migrate","Python","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Locally","Less frequently"
"280",3263,"German","external","Germany","21-29","Windows","Web Back-end","Other - Write In:","Windows","Go","TypeScript","No","MySQL","No, not planning to adopt / migrate","Locally","Several times a day"
"281",3270,"Turkish","external","Turkey","21-29","Windows","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","C#","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","Less frequently"
"282",3274,"English","internal","Czech Republic","21-29","Windows","Web Back-end","Windows","macOS","TypeScript","JavaScript","Yes, I write unit tests","MySQL","Cassandra","Locally","All day long"
"283",3288,"German","external","Germany","18-20","Unix / Linux","Web Back-end","Android","Windows","C#","Java","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Locally","Several times a week"
"284",3298,"Portuguese","external","Brazil","50-59","Windows","Mobile","Windows","Windows","Java","JavaScript","Yes, I use unit tests, but I don't write them","Oracle Database","Neo4j","Amazon Web Services","All day long"
"285",3309,"English","internal","Portugal","21-29","Windows","Web Back-end","Windows","Windows","TypeScript","C#","Yes, I write unit tests","PostgreSQL","MongoDB","Other - Write In:","All day long"
"286",3336,"English","internal","United States","40-49","Windows","Web Back-end","iOS","Windows","No, not planning to adopt / migrate","C#","Yes, I write unit tests","DB2","No, not planning to adopt / migrate","Private Servers","All day long"
"287",3342,"English","internal","Argentina","21-29","Unix / Linux","Web Back-end","Android","Unix / Linux","No, not planning to adopt / migrate","Java","Yes, I write unit tests","PostgreSQL","No, not planning to adopt / migrate","Locally","All day long"
"288",3344,"Korean","internal","South Korea","21-29","Unix / Linux","Mobile","Android","Windows","C#","Java","Yes, I use unit tests, but I don't write them","MySQL","SQLite","Locally","Several times a week"
"289",3346,"English","internal","United States","18-20","Windows","Web Back-end","Android","Windows","Python","Java","Yes, I write unit tests","SQLite","PostgreSQL","Locally","Several times a day"
"290",3347,"Japanese","external","Japan","30-39","Windows","Web Back-end","iOS","Windows","TypeScript","C#","Yes, I use unit tests, but I don't write them","MS SQL Server","No, not planning to adopt / migrate","Locally","Several times a week"
"291",3350,"Spanish","external","Argentina","21-29","Windows","Web Back-end","Android","Windows","Java","PHP","No","MySQL","MongoDB","Private Servers","Less frequently"
"292",3352,"English","external","Canada","30-39","Unix / Linux","Web Back-end","Android","Windows","No, not planning to adopt / migrate","Java","Yes, I write unit tests","MySQL","Redis","Amazon Web Services","All day long"
"293",3355,"English","internal","Finland","30-39","macOS","Web Back-end","Android","Windows","No, not planning to adopt / migrate","Java","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","Several times a day"
"294",3361,"Portuguese","external","Brazil","21-29","Windows","Mobile","Windows","Windows","Swift","Kotlin","No","SQLite","No, not planning to adopt / migrate","Locally","Several times a day"
"295",3372,"Portuguese","external","Brazil","21-29","Windows","Mobile","Windows","Windows","Java","JavaScript","Yes, I use unit tests, but I don't write them","SQLite","MySQL","Locally","All day long"
"296",3375,"English","external","France","30-39","Unix / Linux","Web Back-end","Android","Unix / Linux","Swift","JavaScript","Yes, I write unit tests","MongoDB","Cassandra","Other - Write In:","All day long"
"297",3398,"French","external","France","21-29","Windows","Web Back-end","Android","Windows","Dart","C++","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Locally","Several times a day"
"298",3414,"Spanish","external","Spain","30-39","Windows","Mobile","Windows","Windows","Java","PHP","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Private Servers","Never"
"299",3415,"English","external","Argentina","21-29","Windows","Web Front-end","Windows","Windows","Go","PHP","No","MS SQL Server","DB2","Locally","Less frequently"
"300",3425,"English","internal","Canada","40-49","Unix / Linux","Web Back-end","Android","Unix / Linux","Elixir","JavaScript","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","All day long"
"301",3426,"Polish","external","Poland","21-29","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","PHP","No","MySQL","No, not planning to adopt / migrate","Locally","Several times a day"
"302",3429,"English","internal","United States","40-49","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","PHP","No","MS SQL Server","No, not planning to adopt / migrate","Amazon Web Services","All day long"
"303",3430,"English","internal","Greece","21-29","Windows","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","PHP","No","MySQL","No, not planning to adopt / migrate","Locally","Several times a day"
"304",3446,"German","internal","Germany","18-20","Windows","Web Back-end","Android","Windows","C++","Java","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Locally","Several times a day"
"305",3449,"English","internal","United States","40-49","Windows","Web Back-end","Windows","Windows","Go","Java","Yes, I write unit tests","SQLite","No, not planning to adopt / migrate","Amazon Web Services","Several times a week"
"306",3468,"English","internal","United States","30-39","Windows","Web Back-end","Android","Windows","Kotlin","C#","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Private Servers","Several times a day"
"307",3491,"Spanish","external","Argentina","17 or younger","Windows","Mobile","Android","Windows","No, not planning to adopt / migrate","C++","Yes, I use unit tests, but I don't write them","Oracle Database","No, not planning to adopt / migrate","Microsoft Azure","Several times a week"
"308",3497,"English","internal","United States","30-39","Windows","Mobile","iOS","Windows","Planning to adopt / migrate to other language(s) - Write in:","Python","Yes, I write unit tests","Oracle Database","PostgreSQL","Locally","Several times a week"
"309",3500,"English","internal","Canada","30-39","Windows","Web Front-end","Windows","Windows","Ruby","C#","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","All day long"
"310",3508,"German","internal","Germany","21-29","Windows","Web Back-end","Android","Windows","Swift","PHP","Yes, I write unit tests","MySQL","MongoDB","Locally","Several times a day"
"311",3519,"English","external","Turkey","21-29","Unix / Linux","Web Back-end","iOS","Unix / Linux","Swift","PHP","No","MySQL","No, not planning to adopt / migrate","Private Servers","Several times a week"
"312",3527,"German","internal","Austria","21-29","Windows","Web Back-end","Android","Windows","CoffeeScript","TypeScript","No","MySQL","No, not planning to adopt / migrate","Locally","Several times a day"
"313",3530,"English","internal","United States","21-29","macOS","Mobile","iOS","Windows","Planning to adopt / migrate to other language(s) - Write in:","C#","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","All day long"
"314",3540,"English","external","United States","21-29","Windows","Web Back-end","Android","Windows","Go","Python","Yes, I write unit tests","MySQL","HBase","Locally","All day long"
"315",3543,"Korean","external","South Korea","40-49","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","C++","No","MySQL","No, not planning to adopt / migrate","Locally","Several times a week"
"316",3554,"English","external","Belarus","21-29","Windows","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","Swift","Yes, I write unit tests","SQLite","No, not planning to adopt / migrate","Private Servers","All day long"
"317",3557,"German","internal","Germany","50-59","Windows","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","C#","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","All day long"
"318",3564,"English","internal","Netherlands","21-29","Windows","Web Back-end","Windows","Windows","C#","PHP","No","MySQL","No, not planning to adopt / migrate","Locally","All day long"
"319",3566,"English","internal","Canada","40-49","Windows","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","TypeScript","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","Several times a day"
"320",3570,"Russian","internal","Russia","30-39","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","PHP","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Locally","All day long"
"321",3591,"English","internal","Russia","30-39","Windows","Web Front-end","Windows","Windows","No, not planning to adopt / migrate","Other - Write In:","No","PostgreSQL","MongoDB","Locally","Less frequently"
"322",3601,"English","internal","United States","21-29","Windows","Web Back-end","Android","Windows","Swift","JavaScript","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","Several times a day"
"323",3617,"English","internal","Germany","40-49","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","C#","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","All day long"
"324",3647,"English","internal","Canada","30-39","Windows","Web Back-end","iOS","Windows","No, not planning to adopt / migrate","C++","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Locally","All day long"
"325",3699,"English","internal","Netherlands","21-29","Unix / Linux","Web Back-end","Android","Unix / Linux","Kotlin","PHP","No","PostgreSQL","No, not planning to adopt / migrate","Private Servers","Several times a day"
"326",3704,"Polish","external","Poland","17 or younger","Windows","Mobile","Android","Windows","No, not planning to adopt / migrate","Java","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Locally","Several times a week"
"327",3717,"English","external","Canada","50-59","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","HTML / CSS","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Private Servers","Several times a day"
"328",3718,"English","internal","Germany","21-29","Windows","Web Back-end","iOS","Windows","C++","PHP","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","All day long"
"329",3742,"French","external","France","30-39","Unix / Linux","Web Back-end","Android","Windows","Kotlin","Dart","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Google Cloud Platform","Several times a day"
"330",3757,"Spanish","external","Argentina","30-39","Windows","Mobile","Windows","Windows","C#","C++","No","MySQL","MongoDB","Private Servers","Several times a week"
"331",3761,"English","external","United Kingdom","30-39","Windows","Web Back-end","Windows","Windows","Cobol","PHP","Yes, I write unit tests","DB2","MS SQL Server","Locally","All day long"
"332",3763,"English","internal","Germany","21-29","macOS","Web Back-end","iOS","macOS","Python","TypeScript","Yes, I write unit tests","MySQL","Redis","Locally","All day long"
"333",3765,"Polish","external","Poland","40-49","Windows","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","Java","Yes, I write unit tests","PostgreSQL","No, not planning to adopt / migrate","Private Servers","All day long"
"334",3773,"English","internal","United States","30-39","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","Java","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Amazon Web Services","Several times a day"
"335",3793,"English","internal","United States","30-39","Windows","Web Back-end","Android","Unix / Linux","No, not planning to adopt / migrate","JavaScript","No","MS SQL Server","No, not planning to adopt / migrate","Private Servers","All day long"
"336",3795,"French","external","France","21-29","Unix / Linux","Web Back-end","Android","Unix / Linux","Python","PHP","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Locally","All day long"
"337",3797,"English","internal","Turkey","21-29","Windows","Web Back-end","Android","Windows","TypeScript","Scala","Yes, I write unit tests","Oracle Database","No, not planning to adopt / migrate","Locally","Several times a day"
"338",3798,"German","internal","Germany","40-49","Windows","Web Back-end","iOS","Windows","No, not planning to adopt / migrate","Java","Yes, I write unit tests","Oracle Database","No, not planning to adopt / migrate","Locally","Several times a week"
"339",3822,"Korean","external","South Korea","40-49","Windows","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","Java","Yes, I use unit tests, but I don't write them","MySQL","MongoDB","Amazon Web Services","Several times a day"
"340",3838,"French","external","France","21-29","Windows","Web Back-end","Windows","Windows","TypeScript","C#","Yes, I write unit tests","MS SQL Server","MongoDB","Private Servers","All day long"
"341",3840,"English","internal","Poland","30-39","Unix / Linux","Web Back-end","Android","Unix / Linux","No, not planning to adopt / migrate","Java","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Locally","All day long"
"342",3869,"English","internal","Russia","21-29","Windows","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","C#","Yes, I write unit tests","MS SQL Server","No, not planning to adopt / migrate","Locally","All day long"
"343",3872,"English","internal","United States","40-49","macOS","Web Back-end","Android","Windows","Swift","Java","Yes, I write unit tests","DB2","PostgreSQL","Locally","All day long"
"344",3879,"Polish","external","Poland","21-29","Windows","Web Back-end","Windows","Windows","Ruby","C#","No","MS SQL Server","MongoDB","Locally","All day long"
"345",3882,"Japanese","external","Japan","21-29","Windows","Web Back-end","Android","Windows","Kotlin","JavaScript","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Amazon Web Services","All day long"
"346",3898,"English","internal","United States","30-39","Windows","Web Back-end","iOS","Windows","Swift","C#","Yes, I write unit tests","MS SQL Server","PostgreSQL","Locally","Several times a day"
"347",3925,"Japanese","internal","United States","30-39","macOS","Mobile","iOS","Other - Write In:","C#","Swift","No","MySQL","No, not planning to adopt / migrate","Locally","Several times a week"
"348",3932,"Korean","external","South Korea","30-39","Windows","Mobile","Android","Windows","Python","Java","Yes, I use unit tests, but I don't write them","MS SQL Server","No, not planning to adopt / migrate","Private Servers","All day long"
"349",3943,"Chinese (s","external","China","30-39","macOS","Web Back-end","Android","Windows","No, not planning to adopt / migrate","JavaScript","Yes, I write unit tests","SQLite","No, not planning to adopt / migrate","Private Servers","All day long"
"350",3971,"English","external","Mexico","30-39","Windows","Mobile","Windows","Windows","Go","Java","Yes, I write unit tests","MySQL","MongoDB","Locally","All day long"
"351",3979,"Portuguese","external","Brazil","30-39","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","Java","Yes, I write unit tests","DB2","No, not planning to adopt / migrate","Locally","Several times a day"
"352",3984,"English","internal","Netherlands","50-59","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","C#","No","MS SQL Server","MongoDB","Locally","Several times a day"
"353",3989,"Chinese (s","internal","China","18-20","Unix / Linux","Web Back-end","Android","Unix / Linux","Ruby","Java","Yes, I use unit tests, but I don't write them","MySQL","Redis","Locally","All day long"
"354",3998,"German","internal","Germany","17 or younger","Unix / Linux","Web Front-end","Android","Unix / Linux","Kotlin","Python","Yes, I write unit tests","MongoDB","No, not planning to adopt / migrate","Locally","Several times a week"
"355",4008,"Russian","external","Lithuania","30-39","macOS","Web Back-end","Android","Windows","No, not planning to adopt / migrate","Python","Yes, I write unit tests","PostgreSQL","SQLite","Locally","Several times a week"
"356",4022,"English","external","Brazil","21-29","Windows","Web Back-end","Windows","Windows","No, not planning to adopt / migrate","JavaScript","No","MySQL","No, not planning to adopt / migrate","Locally","All day long"
"357",4040,"English","internal","Germany","18-20","Windows","Mobile","Android","Windows","No, not planning to adopt / migrate","Kotlin","Yes, I write unit tests","PostgreSQL","No, not planning to adopt / migrate","Private Servers","All day long"
"358",4045,"Spanish","external","Argentina","50-59","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","Visual Basic","No","MySQL","No, not planning to adopt / migrate","Locally","Never"
"359",4069,"German","external","Germany","40-49","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","Java","Yes, I use unit tests, but I don't write them","MS SQL Server","No, not planning to adopt / migrate","Locally","All day long"
"360",4074,"English","external","India","18-20","Windows","Mobile","Windows","Windows","Go","C++","No","MySQL","No, not planning to adopt / migrate","Private Servers","Several times a day"
"361",4094,"German","external","Germany","30-39","Windows","Web Back-end","Android","Windows","No, not planning to adopt / migrate","Java","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Locally","All day long"
"362",4116,"Russian","external","Russia","21-29","macOS","Web Front-end","iOS","macOS","No, not planning to adopt / migrate","Kotlin","Yes, I write unit tests","MySQL","No, not planning to adopt / migrate","Locally","Several times a day"
